step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,281425.06,C310276293,0,0,C1831477404,299995.48,247063.16,0,0
1,TRANSFER,18561.23,C1494277749,0,0,C1629911510,192136.35,15375.37,0,0
1,TRANSFER,39069.42,C1091107430,0,0,C22805895,238390.23,651524.92,0,0
1,TRANSFER,63186.93,C521342639,0,0,C1123629720,150527.05,46393.85,0,0
1,TRANSFER,419757.69,C2114629072,0,0,C998351292,559328.89,1015132.48,0,0
1,TRANSFER,127920.4,C557197074,0,0,C977993101,330781.11,965870.05,0,0
1,TRANSFER,11136.72,C669725336,0,0,C1782580546,16180.11,27316.83,0,0
1,TRANSFER,33782.98,C537536188,0,0,C1973538135,39134.79,16896.7,0,0
1,TRANSFER,3776389.09,C197491520,0,0,C1883840933,1.01E+07,1.69E+07,0,0
1,TRANSFER,1127058.69,C458998685,0,0,C453211571,1517620.71,3461666.05,0,0
1,TRANSFER,112401.53,C1700421020,0,0,C1688019098,259740.13,97263.78,0,0
1,TRANSFER,668237.36,C345290829,0,0,C1789550256,2115891.91,4619798.56,0,0
1,TRANSFER,789419.02,C883678948,0,0,C1286084959,1967540.22,2107778.11,0,0
1,TRANSFER,569068.84,C1906947271,0,0,C1782113663,1001253.72,3997768.55,0,0
1,TRANSFER,682894.68,C1177072083,0,0,C1023714065,2079321.97,1412484.09,0,0
1,TRANSFER,443116.03,C2010070923,0,0,C564160838,1299990.45,1254956.07,0,0
1,TRANSFER,3942.44,C502891368,0,0,C1225616405,25716.56,0,0,0
1,TRANSFER,539430.95,C566891420,0,0,C1750905143,595549.33,424250.45,0,0
1,TRANSFER,598782.65,C577734751,0,0,C453211571,2644679.4,3461666.05,0,0
1,TRANSFER,600581.61,C752011518,0,0,C1782113663,1570322.56,3997768.55,0,0
1,TRANSFER,221297.05,C2103569615,0,0,C1318822808,595455.57,500631.71,0,0
1,TRANSFER,249592.99,C214320652,0,0,C1318822808,816752.62,500631.71,0,0
1,PAYMENT,5170.23,C1379207867,184781,179610.77,M1746578747,0,0,0,0
1,PAYMENT,8553.73,C443491171,69404,60850.27,M606593028,0,0,0,0
1,CASH_OUT,9980.32,C1589466857,12936,2955.68,C1018298342,0,9980.32,0,0
1,PAYMENT,11982.62,C1676888944,22386,10403.38,M6559830,0,0,0,0
1,DEBIT,2763.95,C458817438,60249,57485.05,C846947180,10137.14,12901.08,0,0
1,CASH_OUT,265763.02,C795273218,57485.05,0,C985934102,1784963.53,971418.91,0,0
1,PAYMENT,2364.01,C1454870101,31392,29027.99,M1982958205,0,0,0,0
1,PAYMENT,1432.47,C709439274,7102,5669.53,M846718105,0,0,0,0
1,PAYMENT,233.76,C1482166692,54214,53980.24,M583015088,0,0,0,0
1,PAYMENT,13259.12,C1091781053,581420.54,568161.42,M1280128554,0,0,0,0
1,PAYMENT,2364.34,C1409342262,568161.42,565797.08,M1991724700,0,0,0,0
1,PAYMENT,3903.48,C762509150,11308,7404.52,M145455292,0,0,0,0
1,TRANSFER,301298.69,C1520491508,213449,0,C662736689,25871.21,4891090.56,0,0
1,PAYMENT,6623.21,C380616082,1036,0,M744316958,0,0,0,0
1,DEBIT,1009.43,C2145420209,23322,22312.57,C1531333864,476138.03,55974.56,0,0
1,PAYMENT,1639.33,C600017090,5912,4272.67,M1215029765,0,0,0,0
1,PAYMENT,2033.14,C259077766,186592,184558.86,M1962398162,0,0,0,0
1,TRANSFER,45864.43,C1263391254,10675,0,C85777802,42769.62,0,0,0
1,PAYMENT,11411.34,C1554086576,90587,79175.66,M1516417700,0,0,0,0
1,PAYMENT,23.31,C273777019,45360,45336.69,M891894789,0,0,0,0
1,PAYMENT,613.83,C1644864746,368,0,M766696861,0,0,0,0
1,PAYMENT,7154.46,C829737737,10115,2960.54,M1296109622,0,0,0,0
1,PAYMENT,1091.54,C2061226112,74850,73758.46,M1103017075,0,0,0,0
1,PAYMENT,3193.99,C1443173326,29992,26798.01,M318794136,0,0,0,0
1,PAYMENT,1849.56,C939254952,10426,8576.44,M55755528,0,0,0,0
1,PAYMENT,4170.82,C2100771791,31251,27080.18,M1835778392,0,0,0,0
1,PAYMENT,4099.91,C98412281,21262,17162.09,M268599241,0,0,0,0
1,PAYMENT,5923.01,C1420810053,6057,133.99,M1736293769,0,0,0,0
1,TRANSFER,208376.61,C268379633,133.99,0,C716083600,1541573.96,2444985.19,0,0
1,TRANSFER,131033.44,C201392112,0,0,C1335050193,141691.68,353532.56,0,0
1,TRANSFER,223848.92,C641664202,0,0,C1526298704,249663.72,32092.07,0,0
1,TRANSFER,68332.36,C748975217,0,0,C1782113663,2170904.16,3997768.55,0,0
1,TRANSFER,205368.78,C1510087865,0,0,C985934102,2050726.55,971418.91,0,0
1,TRANSFER,424141.36,C1366722422,0,0,C2083562754,763134.49,1186556.81,0,0
1,TRANSFER,373185.07,C254918854,0,0,C401424608,430989.2,1178808.14,0,0
1,TRANSFER,2258388.15,C12139181,0,0,C1789550256,2784129.27,4619798.56,0,0
1,TRANSFER,250968.18,C1251219927,0,0,C1782113663,2239236.52,3997768.55,0,0
1,TRANSFER,19772.53,C792488644,0,0,C2094777811,44486.99,64259.52,0,0
1,TRANSFER,43023.82,C780843029,0,0,C660143728,56750.45,42450.71,0,0
1,TRANSFER,1628887.72,C1739555643,0,0,C451111351,1986951.69,3940085.21,0,0
1,TRANSFER,755499.13,C220165304,0,0,C1262822392,8637055.36,1.25E+07,0,0
1,TRANSFER,289203.45,C1094272405,0,0,C998351292,979086.58,1015132.48,0,0
1,TRANSFER,902485.36,C973604791,0,0,C392292416,2016196.28,3420103.09,0,0
1,TRANSFER,351854.11,C564526486,0,0,C451111351,3615839.41,3940085.21,0,0
1,TRANSFER,605790.2,C1466558382,0,0,C401424608,804174.27,1178808.14,0,0
1,TRANSFER,353312.93,C1551303995,0,0,C977993101,458701.51,965870.05,0,0
1,TRANSFER,855931.4,C649630909,0,0,C1234776885,1329839.38,2025098.66,0,0
1,TRANSFER,699928.86,C679449777,0,0,C998351292,1268290.04,1015132.48,0,0
1,PAYMENT,5886.25,C817054343,29735.29,23849.03,M1418315639,0,0,0,0
1,TRANSFER,200774.62,C913746983,23849.03,0,C1810132623,255089.02,97128.19,0,0
1,DEBIT,1088.94,C1660451908,5096,4007.06,C2001112025,13100.81,0,0,0
1,PAYMENT,3500,C1224064486,103588,100088,M1381857776,0,0,0,0
1,TRANSFER,109552.96,C1363800072,9915.47,0,C1360767589,1846787.05,2107965.39,0,0
1,TRANSFER,59531.87,C1886567481,0,0,C998351292,1968218.89,1015132.48,0,0
1,TRANSFER,133637.07,C361571676,0,0,C306206744,1921882.33,3554299.27,0,0
1,TRANSFER,75752.73,C749100260,0,0,C1688019098,372141.66,97263.78,0,0
1,TRANSFER,100362.16,C846274760,0,0,C747464370,876637.74,1567434.81,0,0
1,TRANSFER,191177.92,C1460126155,0,0,C716083600,1749950.57,2444985.19,0,0
1,TRANSFER,435589.96,C727497138,0,0,C401424608,1409964.46,1178808.14,0,0
1,TRANSFER,1950.77,C889422145,0,0,C614685048,106511.31,0,0,0
1,TRANSFER,2223005.62,C248483913,0,0,C248609774,3831539.16,6453430.91,0,0
1,TRANSFER,902505.61,C1731137986,0,0,C932583850,1571970.16,2719172.89,0,0
1,TRANSFER,1201716.66,C695248316,0,0,C665576141,4139387.14,5515763.34,0,0
1,TRANSFER,494972.01,C5255258,0,0,C1234776885,2185770.78,2025098.66,0,0
1,TRANSFER,1417001.19,C1928312257,0,0,C306206744,2055519.4,3554299.27,0,0
1,PAYMENT,3445.96,C1834031967,8576,5130.04,M1092619788,0,0,0,0
1,PAYMENT,2650.82,C1089680530,3113,462.18,M1337835760,0,0,0,0
1,PAYMENT,2073.2,C718512571,21363.74,19290.55,M1807911555,0,0,0,0
1,CASH_OUT,319825.94,C843867341,19290.55,0,C564160838,1743106.48,1254956.07,0,0
1,CASH_OUT,129431.13,C324507700,0,0,C747464370,976999.9,1567434.81,0,0
1,CASH_OUT,105351.94,C616443292,0,0,C401424608,1845554.42,1178808.14,0,0
1,CASH_OUT,38167,C1540832538,0,0,C488044861,82599.36,5203.54,0,0
1,CASH_OUT,4682.74,C183259297,0,0,C195600860,27134.6,40348.79,0,0
1,DEBIT,1280.14,C626393072,15159,13878.86,C1112414583,11898,67762.92,0,0
1,DEBIT,3039.84,C1892869131,152809,149769.16,C33524623,2079710.62,1517262.16,0,0
1,PAYMENT,5998,C302987494,164,0,M2047744862,0,0,0,0
1,PAYMENT,4273,C1882116496,0,0,M389779746,0,0,0,0
1,PAYMENT,3637.13,C2081964843,0,0,M1984328477,0,0,0,0
1,PAYMENT,892.53,C1893899796,29998,29105.47,M991671211,0,0,0,0
1,PAYMENT,10707.6,C94682872,42496,31788.4,M1086323658,0,0,0,0
1,PAYMENT,6380.75,C608817143,31788.4,25407.65,M1118414398,0,0,0,0
1,TRANSFER,271161.74,C1658487789,0,0,C1219161283,0,0,0,0
1,TRANSFER,274108.4,C1568949719,0,0,C564160838,2062932.43,1254956.07,0,0
1,DEBIT,2676.97,C936906727,94551,91874.03,C824208363,54856.21,0,0,0
1,PAYMENT,7512.61,C944752500,20574,13061.39,M238874235,0,0,0,0
1,PAYMENT,8612.28,C1911138454,137974,129361.72,M112797307,0,0,0,0
1,PAYMENT,413.4,C1082865087,56237.03,55823.63,M699221219,0,0,0,0
1,PAYMENT,6794.39,C364704856,55823.63,49029.24,M1526305386,0,0,0,0
1,PAYMENT,9247.18,C1137078855,5582,0,M1027200,0,0,0,0
1,PAYMENT,2821.51,C1919125229,0,0,M1688150025,0,0,0,0
1,TRANSFER,378703.81,C347808407,31813,0,C838411509,6353.62,22774.25,0,0
